year,csu_id,ida_id,week,,trap,zone,trap_type,genus,spp,test
2014 ,CSU-5952 ,15558 ,30 ,41841 ,FC-004 ,SE ,Light ,Cx ,tarsalis ,POS 1 
2014 ,CSU-6017 ,15623 ,30 ,41842 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6034 ,15640 ,30 ,41842 ,LV-104 ,LV ,Light ,Cx ,tarsalis ,POS  
2014 ,CSU-6058 ,15664 ,30 ,41842 ,LV-123 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6099 ,15705 ,30 ,41842 ,FC-064 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6189 ,15794 ,31 ,7/28/14 ,FC-053 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6192 ,15797 ,31 ,7/28/14 ,FC-019 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6194 ,15799 ,31 ,7/28/14 ,FC-069 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6226 ,15831 ,31 ,7/28/14 ,FC-038 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6262 ,15867 ,31 ,7/28/14 ,FC-072 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6272 ,15877 ,31 ,7/29/14 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6290 ,15895 ,31 ,7/29/14 ,LV-089 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6306 ,15911 ,31 ,7/29/14 ,FC-027 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6318 ,15923 ,31 ,7/29/14 ,FC-064 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6326 ,15931 ,31 ,7/29/14 ,FC-031 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6327 ,15932 ,31 ,7/29/14 ,FC-031 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6347 ,15952 ,31 ,7/29/14 ,FC-050 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6354 ,15960 ,32 ,8/4/14 ,FC-040 ,NE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6355 ,15961 ,32 ,8/4/14 ,FC-040 ,NE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6371 ,15977 ,32 ,8/4/14 ,LV-079 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6372 ,15978 ,32 ,8/4/14 ,LV-079 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6377 ,15983 ,32 ,8/4/14 ,FC-038 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6387 ,15993 ,32 ,8/4/14 ,FC-053 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6389 ,15995 ,32 ,8/4/14 ,FC-053 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6453 ,16059 ,32 ,8/4/14 ,FC-040 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6485 ,16091 ,32 ,8/5/14 ,FC-088 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6490 ,16096 ,32 ,8/5/14 ,LV-104 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6492 ,16098 ,32 ,8/5/14 ,LV-077 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6508 ,16114 ,32 ,8/5/14 ,FC-047 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6534 ,16140 ,32 ,8/5/14 ,FC-074 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6535 ,16141 ,32 ,8/5/14 ,FC-074 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6537 ,16143 ,32 ,8/5/14 ,FC-031 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6548 ,16154 ,32 ,8/5/14 ,FC-027 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6556 ,16162 ,32 ,8/6/14 ,LV-067 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6563 ,16169 ,32 ,8/6/14 ,LV-042 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6569 ,16175 ,32 ,8/6/14 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6578 ,16184 ,32 ,8/6/14 ,FC-063 ,NW ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6579 ,16185 ,32 ,8/6/14 ,FC-041 ,NW ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6598 ,16204 ,32 ,8/7/14 ,LV-010 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6599 ,16205 ,32 ,8/7/14 ,LV-010 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6607 ,16213 ,32 ,8/7/14 ,FC-029 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6618 ,16224 ,32 ,8/7/14 ,FC-062 ,SW ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6627 ,16233 ,32 ,8/7/14 ,LV-114 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6628 ,16234 ,32 ,8/7/14 ,LV-114 ,LV ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6653 ,16259 ,33 ,41862 ,LV-080 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6691 ,16297 ,33 ,41862 ,FC-006 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6692 ,16298 ,33 ,41862 ,FC-006 ,NE ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6708 ,16314 ,33 ,41863 ,LV-074 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6712 ,16318 ,33 ,41863 ,FC-027 ,SE ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6732 ,16338 ,33 ,41863 ,FC-023 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6752 ,16358 ,33 ,41864 ,FC-063 ,NW ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6762 ,16368 ,33 ,41864 ,LV-019 ,LV ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6784 ,16390 ,33 ,41864 ,LV-114 ,LV ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6800 ,16406 ,33 ,41865 ,LV-010 ,LV ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6803 ,16409 ,33 ,41865 ,LV-014 ,LV ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6807 ,16413 ,33 ,41865 ,FC-029 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6822 ,16428 ,33 ,8/14/14 ,FC-059 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6825 ,16431 ,33 ,8/14/14 ,FC-029 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6836 ,16442 ,33 ,8/14/14 ,FC-093 ,SW ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6869 ,16475 ,34 ,41869 ,FC-072 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6892 ,16498 ,34 ,41869 ,FC-006 ,NE ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6933 ,16539 ,34 ,41871 ,FC-088 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6934 ,16540 ,34 ,41871 ,FC-088 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6937 ,16543 ,34 ,41871 ,FC-053 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6942 ,16548 ,34 ,41871 ,FC-027 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6944 ,16550 ,34 ,41871 ,FC-027 ,SE ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6958 ,16564 ,34 ,41872 ,FC-029 ,SE ,Gravid ,Cx ,pipiens ,POS 
2014 ,CSU-6961 ,16567 ,34 ,41872 ,FC-029 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6841 ,16447 ,34 ,41869 ,LV-095 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6893 ,16499 ,34 ,41870 ,LV-104 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-6980 , ,35 ,8/25/14 ,LV-069 ,LV ,Light ,Cx ,pipiens ,POS 
2014 ,CSU-6989 , ,35 ,8/25/14 ,LV-095 ,LV ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-7009 , ,35 ,8/25/14 ,FC-067 ,NE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-7013 , ,35 ,8/26/14 ,FC-039 ,SE ,Light ,Cx ,tarsalis ,POS 
2014 ,CSU-7028 , ,35 ,8/26/14 ,FC-088gr ,SE ,Gravid ,Cx ,pipiens ,POS 